OBS_DATE,TSI_Total,Covid indicator,,,,
01/01/2000,101.9,0,,,,
02/01/2000,101.5,0,,,,
03/01/2000,99.6,0,,,,
04/01/2000,98.4,0,,,,
05/01/2000,99.9,0,,,,
06/01/2000,100.1,0,,,,
07/01/2000,98.3,0,,,,
08/01/2000,99.6,0,,,,
09/01/2000,100.9,0,,,,
10/01/2000,100.3,0,,,,
11/01/2000,100.6,0,,,,
12/01/2000,98.8,0,,,,
01/01/2001,100,0,,,,
02/01/2001,99.9,0,,,,
03/01/2001,100.1,0,,,,
04/01/2001,99.1,0,,,,
05/01/2001,100.2,0,,,,
06/01/2001,99.5,0,,,,
07/01/2001,98.8,0,,,,
08/01/2001,100.1,0,,,,
09/01/2001,93.8,0,,,,
10/01/2001,95.1,0,,,,
11/01/2001,95.4,0,,,,
12/01/2001,95.8,0,,,,
01/01/2002,96.8,0,,,,
02/01/2002,98.3,0,,,,
03/01/2002,97.4,0,,,,
04/01/2002,98.1,0,,,,
05/01/2002,99,0,,,,
06/01/2002,99.4,0,,,,
07/01/2002,100.1,0,,,,
08/01/2002,100.1,0,,,,
09/01/2002,100.5,0,,,,
10/01/2002,101.4,0,,,,
11/01/2002,102.1,0,,,,
12/01/2002,102.2,0,,,,
01/01/2003,101.6,0,,,,
02/01/2003,101.1,0,,,,
03/01/2003,101,0,,,,
04/01/2003,100.1,0,,,,
05/01/2003,99.8,0,,,,
06/01/2003,100.1,0,,,,
07/01/2003,101.7,0,,,,
08/01/2003,101.4,0,,,,
09/01/2003,102.6,0,,,,
10/01/2003,103.8,0,,,,
11/01/2003,104,0,,,,
12/01/2003,106.1,0,,,,
01/01/2004,105.3,0,,,,
02/01/2004,106.2,0,,,,
03/01/2004,108.2,0,,,,
04/01/2004,108.5,0,,,,
05/01/2004,108.4,0,,,,
06/01/2004,109.2,0,,,,
07/01/2004,109.1,0,,,,
08/01/2004,108.5,0,,,,
09/01/2004,108.9,0,,,,
10/01/2004,109.8,0,,,,
11/01/2004,110.3,0,,,,
12/01/2004,110.5,0,,,,
