ID,OBS_DATE,ASM,ASM_D11,ASM_D,ASM_D_D11,ASM_I,ASM_I_D11,RPM,RPM_D11,RPM_D,RPM_D_D11,RPM_I,RPM_I_D11,LOAD_FACTOR,LOAD_FACTOR_D11,LOAD_FACTOR_D,LOAD_FACTOR_D_D11,LOAD_FACTOR_I,LOAD_FACTOR_I_D11,ENPLANE_I,ENPLANE_I_D11,ENPLANE_D,ENPLANE_D_D11,ENPLANE,ENPLANE_D11,AIR_RPM_TSI,AIR_RPM_TSI_D11,AIR_RTMFM,AIR_RTMFM_D11,RAIL_FRT_CARLOADS,RAIL_FRT_CARLOADS_D11,RAIL_FRT_INTERMODAL,RAIL_FRT_INTERMODAL_D11,RAIL_PM,RAIL_PM_D11,TRANSIT,TRANSIT_D11,PETROLEUM,PETROLEUM_D11,NATURAL_GAS,NATURAL_GAS_D11,WATERBORNE,WATERBORNE_D11,TRUCK_D11,VMT,VMT_D11,TSI_Freight,TSI_Freight_C,TSI_Passenger,TSI_Passenger_C,TSI_Total,TSI_Total_C,IND_PRO,MANUF,INV_TO_SALES,IDX_AIR_RPM,IDX_AIR_RTMFM,IDX_RAIL_FRT_CARLOADS,IDX_RAIL_FRT_INTERMODAL,IDX_RAIL_PM,IDX_TRANSIT_D11,IDX_PETROLEUM_D11,IDX_NATURAL_GAS_D11,IDX_WATERBORNE_D11,IDX_TRUCK_D11
SATD200001,01/01/2000,76146639,77932289,56288872,57569024,19857767,20363265,48263245,53727447,34913749,39547566,13349496,14179881,63.4,68.9,62,68.7,67.2,69.6,4952,5182,41540,47860,46492,53042,49843099,56006449,2182683,2473159,1402926,1422052,723747,767287,366607410,446123734,724934,770106,215985,212757,2510.5,1809.2,48.4,55.4,79.9,203442,227235,105.1,,95.7,,101.9,,98.843208679,100.69017704,1.58,0.9494,0.9633,1.0164,1.005,0.9571,0.9779,0.951,0.9659,1.1204,1.0673
SATD200002,02/01/2000,73011377,78561170,54329819,57825860,18681558,20735310,48580127,55657318,36005847,40662941,12574280,14994377,66.5,70.8,66.3,70.3,67.3,72.3,4812,5444,43714,48567,48526,54011,49931931,57785901,2341123,2528990,1341942,1420708,710611,766095,366139276,444391468,756536,769872,210132,226517,2330.7,1827.9,42,48.6,78.6,199261,228727,103.3,-1.7,97.8,2.2,101.5,-0.4,99.179010342,97.084808681,1.56,0.9796,0.9851,1.0154,1.0035,0.9534,0.9776,1.0125,0.9758,0.9844,1.0489
SATD200003,03/01/2000,80308529,79366413,59913798,58447159,20394731,20919253,59632014,56808727,43901516,41242599,15730498,15566128,74.3,71.6,73.3,70.6,77.1,74.4,5787,5551,52977,48806,58764,54357,61478163,58584320,2699633,2492742,1452147,1410082,771025,765193,453096388,454861378,843730,786553,216833,219951,2050.6,1723.8,52.5,52.5,74.7,232490,230237,99.8,-3.4,99.4,1.6,99.6,-1.9,99.565625521,99.767561393,1.55,0.9931,0.971,1.0078,1.0023,0.9759,0.9988,0.9832,0.9203,1.0619,0.9971
SATD200004,04/01/2000,78139993,79369969,57402637,58407037,20737356,20962932,57636732,57836278,41954244,41786875,15682488,16049403,73.8,72.9,73.1,71.5,75.6,76.6,5688,5704,50344,49807,56032,55511,58981617,58967450,2528558,2554005,1386030,1400398,747905,763947,473751011,466809509,757458,777435,219340,222362,1783.3,1840.2,52.2,50.8,72.5,227698,229068,97.8,-2,99.6,0.2,98.4,-1.2,100.20403789,101.49628784,1.58,0.9996,0.9948,1.0009,1.0007,1.0015,0.9872,0.9939,0.9825,1.0289,0.9678
SATD200005,05/01/2000,80515093,79090955,58896522,58182279,21618571,20908676,59749900,58980372,43168824,42649947,16581076,16330425,74.2,74.6,73.3,73.3,76.7,78.1,5892,5832,52309,50292,58201,56124,61223861,60915872,2528225,2521969,1440661,1405375,772852,761909,481725263,474002861,818246,782750,225649,218951,1632.9,1970.4,53.5,52.5,73.1,242501,229651,98.8,1,102.2,2.6,99.9,1.5,100.47843088,99.714734437,1.59,1.0327,0.9824,1.0044,0.998,1.0169,0.994,0.9787,1.0519,1.063,0.9765
SATD200006,06/01/2000,80393854,78884402,58286914,57589554,22106940,21294849,64046964,58256131,45856363,41930040,18190601,16326091,79.7,73.8,78.7,72.8,82.3,76.7,6400,5734,54673,49308,61073,55042,65601574,59461343,2537148,2513590,1390222,1394698,763056,754512,517102460,458580406,793911,787926,225621,220772,1513.1,1880.5,50.4,48.5,75.1,242963,230024,99.8,1,100.6,-1.6,100.1,0.2,100.55411058,101.3066819,1.6,1.008,0.9791,0.9968,0.9883,0.9838,1.0006,0.9868,1.004,0.9822,1.0028
SATD200007,07/01/2000,83853711,79066772,60607052,57759243,23246659,21307529,66435577,58231124,47303803,41769281,19131774,16461843,79.2,73.6,78,72.3,82.3,77.3,7014,5821,55568,50273,62582,56094,67898320,58878156,2461623,2477829,1377790,1400421,760109,757666,564747276,472071190,743746,784667,228889,222436,1525.6,1737.4,53.3,49.6,72.9,245140,228840,97.6,-2.2,99.8,-0.8,98.3,-1.8,100.37918235,100.32609937,1.6,0.9981,0.9652,1.0009,0.9924,1.0128,0.9964,0.9943,0.9276,1.0038,0.9728
SATD200008,08/01/2000,84702734,79320368,61479288,57934341,23223446,21386027,65252958,57190647,46457758,40824310,18795200,16366337,77,72.1,75.6,70.5,80.9,76.5,6881,5914,54474,50290,61355,56204,67028338,58664300,2623412,2567076,1473014,1401846,814860,756823,558060051,476287389,787064,785339,231542,225259,1653.1,1850.6,50.9,48.3,74.7,247832,229339,99.6,2,99.6,-0.2,99.6,1.3,100.11041128,98.937749857,1.62,0.9945,0.9999,1.0019,0.9913,1.0218,0.9973,1.0069,0.988,0.9779,0.9977
SATD200009,09/01/2000,79912506,81515769,57899315,59928453,22013191,21587317,55470176,60210980,38372644,43093184,17097532,17117796,69.4,73.9,66.3,71.9,77.7,79.3,5859,6429,46363,52301,52222,58730,56441629,61502814,2711279,2760177,1427099,1417700,789037,766906,446489429,481222161,802516,794289,222945,225378,1475,1858.3,47.3,48.5,74.1,227899,231166,99.7,0.1,103.3,3.7,100.9,1.3,100.50837842,101.68503712,1.59,1.0426,1.0751,1.0132,1.0045,1.0324,1.0086,1.0074,0.9921,0.9816,0.9887
SATD200010,10/01/2000,82627553,81158372,60761374,59426878,21866179,21731495,57979416,59486267,41820446,42671360,16158970,16814907,70.2,73.3,68.8,71.8,73.9,77.4,5635,6208,50920,51703,56555,57911,58834210,60022902,2839068,2643370,1489125,1395437,859903,782545,462329685,486563370,851255,801383,234903,234197,1567.9,1872.3,50.8,47.8,74.2,236491,230372,99.5,-0.2,101.8,-1.5,100.3,-0.6,100.15863007,99.584237579,1.6,1.0175,1.0296,0.9973,1.025,1.0439,1.0177,1.0468,0.9996,0.968,0.9904
